curr_id,cur_name_th,faculty_name_th,career
25610051100138,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์และนวัตกรรมทางอาหาร,คณะวิทยาศาสตร์และเทคโนโลยี,หน่วยงานเอกชน โรงงานอุตสาหกรรมอาหาร ธุรกิจร้านอาหาร โรงแรม หรือครัวของสายการบิน ในตำแหน่งงาน วิจัยและพัฒนาผลิตภัณฑ์อาหาร และอื่นๆ ที่เกี่ยวข้อง
25610051100138,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์และนวัตกรรมทางอาหาร,คณะวิทยาศาสตร์และเทคโนโลยี,ประกอบธุรกิจส่วนตัว ทางด้านการผลิตและแปรรูปอาหารทั้งในรูป สตาร์ทอัพ SMEs หรือ โรงงานอุตสาหกรรมอาหาร
25610051100138,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์และนวัตกรรมทางอาหาร,คณะวิทยาศาสตร์และเทคโนโลยี,หน่วยงานราชการหรือรัฐวิสาหกิจ ตำแหน่งเจ้าหน้าที่วิจัยและพัฒนาผลิตภัณฑ์อาหาร ในสังกัด กระทรวงสาธารณสุข กระทรวงอุตสาหกรรม และกระทรวงวิทยาศาสตร์และเทคโนโลยี เป็นต้น
25500051100585,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,"หลักสูตรวิทยาศาสตรบัณฑิตเป็นหลักสูตรต่อเนื่อง 4+2 ปี ที่นักศึกษาต้องเรียนต่อในหลักสูตร
สถาปัตยกรรมมหาบัณฑิต ถ้านักศึกษาสิ้นสุดการศึกษาในระดับปริญญาตรี จะต้องมีประสบการณ์ทำงาน
เพิ่มเติมตามที่สภาสถาปนิกกำหนด จึงจะสามารถขอสอบใบอนุญาตประกอบวิชาชีพสถาปัตยกรรมควบคุมได้"
25470051100312,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,ศิลปศาสตร์,"นักจิตวิทยาในหน่วยงานของรัฐและเอกชน ซึ่งเกี่ยวกับงานบริการสังคมและชุมชน งานใน
กระบวนการยุติธรรม งานบริการทางสาธารณสุข"
25470051100312,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,ศิลปศาสตร์,นักวิจัยด้านจิตวิทยาและพฤติกรรมมนุษย์
25470051100312,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,ศิลปศาสตร์,บุคลากรที่ทำงานเกี่ยวกับจิตวิทยาและพัฒนาการมนุษย์ทุกช่วงวัย
25470051100312,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,ศิลปศาสตร์,บุคลากรที่ทำงานเกี่ยวกับการบริหารและพัฒนาทรัพยากรมนุษย์และองค์การ
25470051100312,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,ศิลปศาสตร์,"อาชีพอื่น ๆ ที่เกี่ยวข้องกับการนำจิตวิทยาไปประยุกต์ เช่น นักการตลาด นักการสื่อสาร นัก
ประชาสัมพันธ์"
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,อาจารย์ทางด้านสังคมวิทยาและมานุษยวิทยา (Lecturer in Sociology and Anthropology)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิจัยสังคม (Social Researcher)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิชาการทางสังคมวิทยาและมานุษยวิทยา (Academic Sociologist and Anthropologist)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิจัยทางโบราณคดีและประวัติศาสตร์ (Archeological and History Researcher)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิเคราะห์ผลกระทบทางสังคมและวัฒนธรรม (Social and Cultural Analyst)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิชาการพัฒนาชุมชน (Community Development Specialist
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิเคราะห์นโยบายและแผน (Plan and Policy Analysis)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักพัฒนาสังคม (Social Development Worker)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้เชี่ยวชาญด้านการรับผิดชอบต่อสังคม (CSR Specialist)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิชาการศึกษา (Educator)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักพัฒนาการท่องเที่ยว (Tourism Development Officer)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้บริหารทางด้านทรัพยากรบุคคล (Human Resource Manager)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักประวัติศาสตร์สังคม (Social Historian)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ภัณฑารักษ์ (Curator)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักอาชญาวิทยา (Criminologist)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักชาติพันธุ์วิทยา (Ethnologist)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิชาการวัฒนธรรม (Cultural Officer)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักการจัดการและบริหารพิพิธภัณฑ์ (Museum Manager)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้บริหารศูนย์วัฒนธรรม หรือ ศูนย์แสดงศิลปวัฒนธรรม (Cultural Center or Gallery Director)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักเขียนสารคดี (Documentary Writer)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ผลิตสื่อดิจิตอล (Digital Media Producer)
