cur-name-th,faculty_name_th,course_code,th-abbr,course_name_th,course_name_en,course_type,course_credit,lect_hours,practice_hours,self_study_hours,course_description_th,course_description_en,prerequisite_courses
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO201,สว.201,สังคมวิทยาเบื้องต้น,Introduction to Sociology,,3.0,3.0,0.0,6,แนะนำสาขาวิชาสังคมวิทยา และมโนทัศน์ แนวทัศน์เชิงทฤษฎี และวิธีวิจัยพื้นฐานของสังคม วิทยา วิเคราะห์สังคมจากจินตนาการทางสังคมวิทยา เชื่อมโยงประสบการณ์ของปัจเจกบุคคลเข้ากับ โครงสร้างและบริบททางสังคมวัฒนธรรม ลักษณะของความสัมพันธ์ทางสังคมและหน่วยทางสังคมพื้นฐาน เช่น กลุ่มทางสังคม องค์กร และสังคม ตลอดจนแบบแผนความสัมพันธ์และกระบวนการเปลี่ยนแปลงของ หน่วยทางสังคม มุ่งพัฒนาวิธีคิดเชิงวิเคราะห์และวิพากษ์ต่อปรากฏการณ์ทางสังคม,"A comprehensive introduction to the discipline of sociology and its foundational concepts, theoretical perspectives and methods. Analyse society from a sociological imagination; connect experiences of individuals with broader socio-cultural structures and contexts. Characteristics of basic social relationships and social units such as social groups, organisations, and society; their patterns of interrelations and processes of changes. Develop an analytical and critical thinking toward social phenomena.",[]
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO210,สว.210,ประเด็นวิจัยทางสังคมในโลกร่วมสมัย,Social Research Issues in Contemporary World,,3.0,3.0,0.0,6,การเชื่อมโยงปัญหาสังคมเข้ากับปัญหาการวิจัย การนิยามปรากฏการณ์ องค์ประกอบของปัญหา การวิจัย บทบาทของทฤษฎีมโนทัศน์และตัวชี้วัด จินตนาการทางสังคมวิทยา สถานะองค์ความรู้ใน ประเด็นวิจัยหลักๆ ของสังคมวิทยา,"Association between social problems and research problems; naming the phenomena; what constitutes researchable problems, the roles of theories, concepts and indicators; the sociological imagination; state of the art in key sociological areas.",[]
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO216,สว.216,สถิติประยุกต์สำหรับการวิจัยทางสังคม,Applied Statistics for Social Research,,3.0,3.0,0.0,6,ความหมายและวัตถุประสงค์ของสถิติศาสตร์กับการประยุกต์ใช้สำหรับการวิจัยทางสังคมวิทยา การประยุกต์ใช้สถิติสำหรับการสุ่มตัวอย่างและการตรวจสอบเครื่องมือที่ใช้ในการเก็บรวบรวมข้อมูล สถิติ ว่าด้วยการพรรณนาข้อมูล การนำเสนอข้อมูล การหาค่ากลางและการกระจายของข้อมูล สถิติศาสตร์ว่า ด้วยการอนุมานข้อมูลจากตัวอย่างไปสู่ประชากร การประมาณค่าและการทดสอบสมมุติฐาน,"Definition and objectives of statistics for sociological research. Application of statistics for sampling and measurement. Descriptive statistics: data presenting, central tendency and dispersion. Inferential statistics: estimation and hypothesis testing.",[]
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO240,สว.240,การจัดระเบียบทางสังคม,Social Organisation,,3.0,3.0,0.0,6,ระเบียบของสังคมในแง่มุมต่างๆ ทั้งในเชิงโครงสร้างการหน้าที่ความขัดแย้ง กระบวนการทาง สังคมและการเปลี่ยนแปลง ระบบสังคมและสถาบันทางสังคม กลุ่มและองค์การทางสังคมรูปแบบต่างๆ โครงสร้าง วัฒนธรรม และความสัมพันธ์ในองค์การ การจัดช่วงชั้นและความไม่เสมอภาคทางสังคม,"Social order in various aspects; both structural and functional, conflict, social process and change. Social system and social institutions. Social groups and organisations. Structures, culture and relationships in organisation. Social stratification and social inequality.",[]
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO241,สว.241,ครอบครัวศึกษา,Family Studies,,3.0,3.0,0.0,6,ข้อโต้แย้งเกี่ยวกับการศึกษาครอบครัวและเครือญาติครอบครัวข้ามวัฒนธรรมในสังคมต่างๆ ทฤษฎีเกี่ยวกับครอบครัว ความสัมพันธ์ระหว่างครอบครัวกับการเปลี่ยนแปลงทางสังคมวัฒนธรรม และ ความหลากหลายของครอบครัว,Debates on family and kinship studies. Cross-cultural studies on family relations in societies. Theories of family. Interrelations between family and socio-cultural changes and family diversities.,[]
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO310,สว.310,วิธีวิทยาวิจัยเชิงปริมาณ,Methodology for Quantitative Research,,3.0,3.0,0.0,6,กระบวนการวิจัยเชิงปริมาณ ได้แก่การกำหนด ปัญหาการวิจัย การทบทวนแนวคิดทฤษฎีและวรรณกรรม การออกแบบการวิจัย การสร้างกรอบแนวคิด และสมมติฐานการวิจัย การกำหนดนิยามเชิงปฏิบัติการ การสร้างเครื่องมือในการเก็บรวบรวมข้อมูล การ กำหนดประชากรและกลุ่มตัวอย่าง การวิเคราะห์ข้อมูล และการเขียนรายงานการวิจัย,"Prerequisite: Have earned credits of SA211 Quantitative research procedure including research questioning, theoretical and literature review, research design, conceptualisation of framework and hypothesis, operationalisation of definition, data collection tools, population and sampling, data analysis and research report.",['สม.211']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO312,สว.312,วิธีวิทยาวิจัยเชิงคุณภาพ,Methodology for Qualitative Research,,3.0,3.0,0.0,6,วิชาบังคับก่อน: สอบผ่านรายวิชา สม.211 ปรัชญาและระเบียบวิธีวิจัยเกี่ยวกับการวิจัยเชิงคุณภาพ การพัฒนาประเด็นการศึกษาและการ ออกแบบการวิจัย การทบทวนวรรณกรรม การเก็บข้อมูลเชิงคุณภาพด้วยวิธีการต่างๆ การวิเคราะห์และ ตีความข้อมูลเชิงคุณภาพ การนำเสนอและการเขียนรายงานการวิจัย จริยธรรมในการวิจัย,Prerequisite: Have earned credits of SA211 Philosophy and methodology of qualitative research.Developing research questions and research design. Literature reviews. Key techniques for qualitative data collections. Qualitative data analysis and interpretation. Presentation and writing research report. Research ethics.,['SA211']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SW314,สว.314,การวิจัยประเมินผล,Evaluation Research,,3.0,3.0,0.0,6,แนวคิด รูปแบบ วัตถุประสงค์ และเทคนิคในการออกแบบการวิจัยประเมินความสำเร็จของ แผนงานแบบต่างๆ ศึกษากระบวนการและระเบียบวิธีวิจัยที่เกี่ยวข้อง วิเคราะห์และอธิบายที่มาและ ประเภทของข้อมูลที่ใช้ในการประเมินผล และสร้างตัวชี้หรือดัชนีวัดระดับความสำเร็จของแผนงาน ตลอดจนการนำผลการวิจัยไปใช้ในการวางแผนงานและการจัดทำงบประมาณ,"Concepts, forms, objective and techniques of research design for the evaluation of program effectiveness. Study of related research methods and processes, analysis and explanation of sources and types of data employed in evaluation research, construction of indicator or index of degree of effectiveness of program. Application of research findings for planning and budgeting.",['SA211']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO318,สว.318,สถิติขั้นสูงสำหรับการวิจัยทางสังคม,Advanced Statistics for Sociological Research,,3.0,3.0,0.0,6,วิชาบังคับก่อน: สอบผ่านรายวิชา สว.216 สถิติขั้นสูงสำหรับการวิจัยทางสังคมวิทยาเพื่อใช้ในการอธิบายปรากฏการณ์ทางสังคม เทคนิคการ วิเคราะห์ข้อมูลทางสถิติขั้นสูง เช่น การวิเคราะห์การถดถอยเชิงเส้นตรงทั้งอย่างง่ายและเชิงพหุตัวแปร การวิเคราะห์การถดถอยแบบโลจิสติก การวิเคราะห์เส้นทาง,"Prerequisite: Have earned credits of SO216 Advanced statistics for sociological research applied to social phenomena. The advanced statistical techniques— e. g. , simple and multiple linear regression analysis, logistic regression analysis and path analysis.",['SO216']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO321,สว.321,จิตวิทยาสังคมแนวสังคมวิทยา,Sociological Social Psychology,,3.0,3.0,0.0,6,จิตวิทยาสังคมแนวสังคมวิทยา ความแตกต่างระหว่างจิตวิทยาสังคมแนว สังคมวิทยากับแนวจิตวิทยา ความสัมพันธ์ระหว่างสังคมและปัจเจกบุคคล การปฏิสังสรรค์ทาง สังคม ตัวตนและอัตลักษณ์ พฤติกรรมความขัดแย้ง การช่วยเหลือ อารมณ์และความรู้สึกของมนุษย์ และ พฤติกรรมการช่วยเหลือการประยุกต์ใช้ความรู้ทางสังคมวิทยาในการวิเคราะห์ประเด็นเชิงจิตวิทยาร่วม สมัย,"Sociological perspectives in social psychology. Differences between sociological and psychological approaches to social psychology. Relationships between society and individual. Social interactions, self and identity, conflict, emotion and feeling, and helping. Sociological approaches in analysing some psychologically related issues such as mental health and well-being.",['สว.201']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO322,สว.322,อาชญาวิทยา,Criminology,,3.0,3.0,0.0,6,ข้อมูลทางอาชญวิทยาและวิธีวิจัย นิยาม ความหมาย ลักษณะ ประเภท และสาเหตุของอาชญากรรม ปฏิกิริยาของสังคมต่ออาชญากรรม กระบวนการทางสังคมที่เกี่ยวกับพฤติกรรมอาชญากร โดยมุ่งเน้นกระบวนการยุติธรรมทางอาญา การ ควบคุมและป้องกันอาชญากรรม รวมทั้ง ความสัมพันธ์ระหว่างอาชญากรรมและบริบทสังคมวัฒนธรรม เช่น ชนชั้นทางสังคม เชื้อชาติ เพศภาวะ และโลกาภิวัตน์,"Criminological data and research methods. Definitions, nature, forms and causes of crime. Societal responses to crime. Social processes involved in criminal behaviors emphasising on criminal justice process, crime control and crime prevention. Relationship between crime and socio-cultural contexts— e.g., social class, race, gender, and globalisation.",['SO201']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO323,สว.323,ปฏิบัติการสังคมวิทยาควอนตัม,Practice of Quantum Sociology,,3.0,3.0,0.0,6,การจำลองเชิงสังคมวิทยาเพื่อเข้าใจความเป็นจริงจากมุมต่างๆ อุบัติการณ์แบบโต้ตอบ และ ความเห็นอกเห็นใจ ความแตกต่างพื้นฐานระหว่างการมองโลกแบบสำนักนิวตันกับแบบควอนตัมที่มี อิทธิพลต่อสังคมวิทยา แนวคิดเชิงสังคมวิทยาที่ใกล้เคียงกับการมองโลกแบบควอนตัม อาทิสังคมวิทยา ความรู้โดย คาร์ล มานน์ไฮม์ ปรากฏการณ์วิทยา การปฏิสังสรรค์นิยม และระเบียบวิธีในสังคมวิทยาสำนัก ชิคาโก มุมมองแบบควอนตัมที่มีต่อชีวิต โลกทางสังคม ความรู้สึกตัว และอุบัติการณ์ ข้อถกเถียงใน ประเด็นปัญหาความสัมพันธ์ระหว่างร่างกายและจิตใจ การตัดสินใจแบบควอนตัม ผู้กระทำการ-โครงสร้าง และโลกาภิวัตน์เชิงวิวัฒนาการ,"Sociological simulations to understand circling reality, dialogical emergence and sympathy. Fundamental differences between Newtonian and quantum worldview that affect sociology. Sociological perspectives close to quantum worldview, e.g., Karl Mannheim's sociology of knowledge, phenomenology, interactionism and Chicago School of sociology methodology. Quantum perspectives towards life, social world, consciousness and emergence. Debates on mind-body problem, quantum decision theory, agency-structure and evolutionary globalisation.",[]
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO324,สว.324,สังคมวิทยาผัสสะ,Sociology of senses,,3.0,3.0,0.0,6,กระบวนการสร้างและรับรู้ทางผัสสะที่สัมพันธ์กับมิติทางสังคม และวัฒนธรรมเพื่อทำความเข้าใจสภาพแวดล้อมทางสังคมและการใช้ชีวิตประจำวันของผู้คน มุมมองและ วิธีการศึกษาทางสังคมวิทยาเพื่อศึกษาชีวิตทางสังคมผ่านผัสสะและประสบการณ์ทางผัสสะ,Sense- making and sensual perception processes associated with socio- cultural dimensions for the understanding of social environment and everyday life. Sociological concepts and approaches for the examination of social life through senses and sensory experiences.,['สว.201']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO331,สว.331,ประชากรศาสตร์สังคม,Social Demography,,3.0,3.0,0.0,6,ปฏิสัมพันธ์ระหว่างขนาดของประชากร องค์ประกอบของประชากร การกระจายตัวของประชากร ตามพื้นที่ภาวะการตาย ภาวะเจริญพันธุ์ และการย้ายถิ่น ปฏิสัมพันธ์ระหว่างปรากฏการณ์ทางประชากร กับปัจจัยทางเศรษฐกิจ สังคม และสิ่งแวดล้อม,"Interactions between population size, population composition, spatial distribution, mortality, fertility and migration. Interactions between demographic phenomena and socio-economic and environmental factors.",['SO201']
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,SO332,สว.332,ปัญหาและนโยบายทางประชากร,Population Problems and Policies,,3.0,3.0,0.0,6,ปัญหาและนโยบายทางประชากรที่สำคัญต่อการเปลี่ยนแปลงทางสังคมทั้งของประเทศไทยและโลก,"Population problems in Thailand and the world through time. Causes and effects of population problems in terms of society, culture, economy and environment. Population policies effecting social changes in Thailand and the world.",['SO201']
