faculty_name_th,faculty_name_en,curr-id,cur-name-th,cur-name-en,degree-full-th,degree-full-en,degree-abr-th,degree-abr-en,curr-type,lang,campus,approve-date,first-open-term,expense-type,student-nation-id,admit-plan-yearly,max-years,total-credits,gen-ed-credits,req-credits,elec-credits,intern-credits,coop-credits
คณะสังคมวิทยาและมานุษยวิทยา,Faculty of Sociology and Anthropology,25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,Bachelor of Arts Program in Sociology and Anthropology,สังคมวิทยาและมานุษยวิทยาบัณฑิต,Bachelor of Arts (Sociology and Anthropology),สม.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,โครงการปกติ,รับเฉพาะนักศึกษาไทย,100,0,129,30,24,24,0,0
คณะเศรษฐศาสตร์,Faculty of Economics,25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),Bachelor of Economics (International Program),เศรษฐศาสตรบัณฑิต,Bachelor of Economics,ศ.บ.,B.Econ.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาอังกฤษ,ท่าพระจันทร์,2566-04-25,1/2566,โครงการพิเศษ,รับทั้งนักศึกษาไทย และนักศึกษาต่างชาติ,150,8,131,30,35,24,0,0
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,Faculty of Architecture and Planning,2509051100496,หลักสูตรสถาปัตยกรรมภายในบัณฑิต,Bachelor of Interior Architecture Program,ศิลปศาสตรบัณฑิต,Bachelor of Interior Architecture,ศศ.บ.,B.I.A.,หลักสูตรปริญญาตรีสำหรับผู้มีวุฒิบัตร,จัดการศึกษาเป็นภาษาไทย,รังสิต,2566-03-25,1/2566,ปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,45,16,138,30,102,6,0,0
ศิลปศาสตร์,Arts,25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,Bachelor of Arts Program,ศิลปศาสตรบัณฑิต,Bachelor of Arts,ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,ปกติ,จัดการศึกษาเป็นภาษาไทย,360,16,138,30,84,18,0,0
คณะสังคมวิทยาและมานุษยวิทยา,Faculty of Sociology and Anthropology,25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,Bachelor of Arts Program in Social Research,สังคมวิทยาและมานุษยวิทยาบัณฑิต (การวิจัยทางสังคม),Bachelor of Arts (Social Research),สม.บ. (การวิจัยทางสังคม),B.A. (Social Research),หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,ปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,100,16,129,30,39,45,0,0
คณะเศรษฐศาสตร์,Faculty of Economics,25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,Bachelor of Economics Program,เศรษฐศาสตรบัณฑิต,Bachelor of Economics,ศ.บ.,B.Econ.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,รังสิต,2566-04-25,1/2566,ปกติ,รับเฉพาะนักศึกษาไทย,300,16,131,30,35,24,0,0
คณะศิลปศาสตร์,Faculty of Liberal Arts,25520051102681,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,Bachelor of Arts Program in English,ศิลปศาสตรบัณฑิต (ภาษาอังกฤษ),Bachelor of Arts (English),ศศ.บ. (ภาษาอังกฤษ),B.A. (English),หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาทั้งภาษาไทยและภาษาอังกฤษ,ศูนย์รังสิต,2566-07-25,1/2566,ปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,70,16,132,30,78,15,3,0
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,Faculty of Architecture and Planning,25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,Bachelor of Landscape Architecture Program,ภูมิสถาปัตยกรรมศาสตรบัณฑิต,Bachelor of Landscape Architecture,ภ.สถ.บ.,B.L.A.,หลักสูตรปริญญาตรีทางวิชาชีพหรือปฏิบัติการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-04-25,1/2566,พิเศษ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,35,16,138,30,102,9,0,0
ศิลปศาสตร์,Arts,25520051102679,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,Bachelor of Arts Program in Thai,ศิลปศาสตรบัณฑิต (ภาษาไทย),Bachelor of Arts (Thai),ศศ.บ. (ภาษาไทย),B.A. (Thai),หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,ปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,40,16,135,30,81,18,0,0
คณะศิลปศาสตร์,Faculty of Liberal Arts,25470051100323,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,Bachelor of Science Program in Geography and Geoinformatics,วิทยาศาสตรบัณฑิต (ภูมิศาสตร์และภูมิสารสนเทศ),Bachelor of Science (Geography and Geoinformatics),วท.บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,โครงการปกติ,รับเฉพาะนักศึกษาไทย,30,16,138,30,42,18,0,0
คณะศิลปศาสตร์,Faculty of Liberal Arts,25420051100193,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,Bachelor of Arts Program in Area Studies,ศิลปศาสตรบัณฑิต (อาณาบริเวณศึกษา),Bachelor of Arts (Area Studies),ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ท่าพระจันทร์,2565-10-17,1/2566,โครงการปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,215,16,129,30,27,60,0,0
คณะศิลปศาสตร์,Faculty of Liberal Arts,25420051100193,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอังกฤษ-อเมริกันศึกษา,"Bachelor of Arts Program in British and American Studies
(International Program)",ศิลปศาสตรบัณฑิต (อังกฤษ-อเมริกันศึกษา),Bachelor of Arts (British and American Studies),ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาอังกฤษ,ท่าพระจันทร์,2566-07-25,1/2566,โครงการพิเศษ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,60,16,132,30,48,42,0,0
คณะศิลปศาสตร์,Faculty of Liberal Arts,,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการแปลและล่ามในยุคดิจิทัล,"Bachelor of Arts Program in Translation and Interpretation
in the Digital Age",ศิลปศาสตรบัณฑิต (การแปลและล่ามในยุคดิจิทัล),Bachelor of Arts (Translation and Interpretation in the Digital Age),ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2565-10-17,1/2566,พิเศษ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,40,16,129,30,81,6,6,0
คณะวิทยาศาสตร์และเทคโนโลยี,Faculty of Science and Technology,25410051100225,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ประยุกต์,Bachelor of Science Program in Applied Mathematics,วิทยาศาสตรบัณฑิต (คณิตศาสตร์ประยุกต์),Bachelor of Science (Applied Mathematics),วท.บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,โครงการปกติ,รับเฉพาะนักศึกษาไทย,50,16,120,30,36,15,0,0
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,Faculty of Architecture and Planning,25570051102304,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการออกแบบ ธุรกิจ และเทคโนโลยี
(หลักสูตรนานาชาติ)","Bachelor of Science Program in Design, Business and Technology Management
(International Program)",วิทยาศาสตรบัณฑิต (การจัดการออกแบบ ธุรกิจ และเทคโนโลยี),"Bachelor of Science (Design, Business and Technology Management)",วท.บ. (การจัดการออกแบบ ธุรกิจ และเทคโนโลยี),"B.Sc. (Design, Business and Technology Management)",หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาอังกฤษ,รังสิต,2566-04-25,1/2566,โครงการพิเศษ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,90,16,120,30,75,9,0,0
คณะวิทยาศาสตร์และเทคโนโลยี,Faculty of Science and Technology,,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,Bachelor of Science Program in Digital Technology and Innovation,วิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,Bachelor of Science in Digital Technology and Innovation,วท.บ. (เทคโนโลยีและนวัตกรรมดิจิทัล),B.Sc. (Digital Technology and Innovation),หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์ลำปาง,2565-11-30,1 / 2566,ปกติ,รับเฉพาะนักศึกษาไทย,30,0,120,30,84,6,0,0
วิทยาลัยสหวิทยาการ,College of Interdisciplinary Studies,25630051100104,"หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์
(หลักสูตรนานาชาติ)","Bachelor of Arts Program in Philosophy, Politics and Economics
(International Program)",ศิลปศาสตรบัณฑิต (ปรัชญา การเมือง และเศรษฐศาสตร์),"Bachelor of Arts (Philosophy, Politics and Economics)",ศศ.บ. (ปรัชญา การเมือง และเศรษฐศาสตร์),"B.A. (Philosophy, Politics and Economics)",หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาทั้งภาษาไทยและภาษาอังกฤษ,ท่าพระจันทร์,2566-03-28,1/2566,โครงการปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,50,8,126,30,27,15,0,0
วิทยาลัยโลกคดีศึกษา,College of Global Studies,25570051100234,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโลกคดีศึกษาและการประกอบการสังคม (หลักสูตรนานาชาติ),Bachelor of Arts Program in Global Studies and Social Entrepreneurship (International Program),ศิลปศาสตรบัณฑิต (โลกคดีศึกษาและการประกอบการสังคม),Bachelor of Arts (Global Studies and Social Entrepreneurship),ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาทั้งภาษาไทยและภาษาอังกฤษ,รังสิต,2566-07-25,1/2566,พิเศษ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,40,8,129,30,60,6,0,0
คณะวิทยาศาสตร์และเทคโนโลยี,Faculty of Science and Technology,25520051102815,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีเพื่อการพัฒนายั่งยืน,Bachelor of Science Program in Sustainable Development Technology,วิทยาศาสตรบัณฑิต (เทคโนโลยีเพื่อการพัฒนายั่งยืน),Bachelor of Science (Sustainable Development Technology),วท.บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,โครงการปกติ,รับเฉพาะนักศึกษาไทย,50,16,138,30,72,18,0,0
คณะสถาปัตยกรรมศาสตร์และการผังเมือง,Faculty of Architecture and Planning,25500051100585,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,Bachelor of Science Program in Architecture,วิทยาศาสตรบัณฑิต (สถาปัตยกรรม),Bachelor of Science (Architecture),วท.บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-04-25,1/2566,ปกติ,รับเฉพาะนักศึกษาไทย,100,16,146,30,110,9,0,0
คณะวิทยาศาสตร์และเทคโนโลยี,Faculty of Science and Technology,25470051100378,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,Bachelor of Science Program in Environmental Science,วิทยาศาสตรบัณฑิต (วิทยาศาสตร์สิ่งแวดล้อม),Bachelor of Science (Environmental Science),วท บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,โครงการปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,45,0,133,30,61,9,1,0
คณะวิทยาศาสตร์และเทคโนโลยี,Faculty of Science and Technology,25610051100036,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ","Bachelor of Science
Program in Bioenergy and Biochemical Refinery Technology","วิทยาศาสตรบัณฑิต (เทคโนโลยีพลังงานชีวภาพและการ
แปรรูปเคมีชีวภาพ)","Bachelor of Science (Bioenergy and biochemical
refinery technology)",วท.บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-07-25,1/2566,โครงการพิเศษ,รับเฉพาะนักศึกษาไทย,70,16,123,30,87,6,0,0
วิทยาลัยนวัตกรรม,College of Innovation,25610054001377,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมและการแปรรูปทางดิจิทัล,Bachelor of Science Program in Digital Transformation and Innovation (Multidisciplinary),วิทยาศาสตรบัณฑิต (นวัตกรรมและการแปรรูปทางดิจิทัล),Bachelor of Science (Digital Transformation and Innovation),วท.บ.,B.S.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ท่าพระจันทร์,2566-04-25,1/2566,พิเศษ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,60,16,129,30,78,15,3,0
คณะวิทยาศาสตร์และเทคโนโลยี,Faculty of Science and Technology,25520051102624,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,Bachelor of Science Program in Computer Science,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์),Bachelor of Science (Computer Science),วท.บ.,B.Sc.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,รังสิต,2566-07-25,1/2566,ปกติและโครงการพิเศษ,รับเฉพาะนักศึกษาไทย,70,16,123,30,87,6,0,0
คณะศิลปกรรมศาสตร์,Faculty of Fine and Applied Arts,,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการบริหารจัดการศิลปะ,Bachelor of Fine and Applied Arts Program in Arts Administration,ศิลปกรรมศาสตรบัณฑิต (การบริหารจัดการศิลปะ),Bachelor of Fine and Applied Arts (Arts Administration),ศป.บ.,B.F.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2567-07-30,1/2568,ปกติ,รับเฉพาะนักศึกษาไทย,80,16,126,30,81,9,0,6
วิทยาลัยนวัตกรรม,College of Innovation,25570051102416,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์,Bachelor of Arts Program in Management of Cultural Heritage and Creative Industries,ศิลปศาสตรบัณฑิต (การจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์),Bachelor of Arts (Management of Cultural Heritage and Creative Industries),ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์รังสิต,2566-04-25,1/2566,ปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,120,16,129,30,66,15,0,0
วิทยาลัยนวัตกรรม,College of Innovation,25570051102405,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมการบริการ,"Bachelor of Arts Program in Service Innovation
(International Program)",ศิลปศาสตรบัณฑิต (นวัตกรรมการบริการ),Bachelor of Arts (Service Innovation),ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาอังกฤษ,ท่าพระจันทร์,2566-04-25,1/2566,โครงการปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ,60,16,129,30,81,12,3,0
วิทยาลัยสหวิทยาการ,College of Interdisciplinary Studies,25550051100164,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,"Bachelor of Arts Program in Philosophy, Politics and Economics",ศิลปศาสตรบัณฑิต (ปรัชญา การเมือง และเศรษฐศาสตร์),"Bachelor of Arts (Philosophy, Politics and Economics)",ศศ.บ. (ปรัชญา การเมือง และเศรษฐศาสตร์),"B.A. (Philosophy, Politics and Economics)",หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ท่าพระจันทร์,2566-03-28,1/2566,โครงการปกติ,รับเฉพาะนักศึกษาไทย,120,8,126,30,27,15,0,0
วิทยาลัยสหวิทยาการ,College of Interdisciplinary Studies,,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,"Bachelor of Bachelor of Arts Program in Philosophy, Politics and Economics",ศิลปศาสตรบัณฑิต (ปรัชญา การเมือง และเศรษฐศาสตร์),"Bachelor of Arts (Philosophy, Politics and Economics)",ศศ.บ.,B.A.,หลักสูตรปริญญาตรีทางวิชาการ,จัดการศึกษาเป็นภาษาไทย,ศูนย์ลำปาง,,1/2566,ปกติ,รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ที่สามารถใช้ภาษาไทยได้ดี,40,8,126,30,27,15,0,0
