lect_id,curr_id,lecture_position,lecture_fname,lecture_lname,bachelor_degree,bachelor_institute,bachelor_gradyear,master_degree,master_institute,master_gradyear,doctor_degree,doctor_institute,doctor_graduate_year,faculty_id
8401,25400051100369,ผู้ช่วยศาสตราจารย์,วิลาสินี,พนานครทรัพย์,สม.บ.,มหาวิทยาลัยธรรมศาสตร์,2541,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2545,Ph.D.,"La Trobe University, Australia.",2558,8
8904,25400051100369,ผู้ช่วยศาสตราจารย์,พจนก,กาญจนจันทร,ศศ.บ.,มหาวิทยาลัยรามค าแหง,2536,"Μ.Α. , Μ.Α.","Warwick University , University of Bristol","2543 , 2544",Ph.D.,"University of Bristol, UK",2549,8
8350,25400051100369,อาจารย์,ธนานนท์,บัวทอง,ศ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2552,ศศ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2555,ศศ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2562,8
8758,25400051100369,ผู้ช่วยศาสตราจารย์,วาทินีย์,วิชัยยา,วท.บ.,มหาวิทยาลัยเชียงใหม่,2551,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2556,ไม่มี,ไม่มี,ไม่มี,8
8027,25400051100369,ผู้ช่วยศาสตราจารย์,เทียมสูรย์,สิริศรีศักดิ์,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2541,สถ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2544,Ph.D.,"The University of Tokyo, Japan",2554,8
4622,25510051108732,ผู้ช่วยศาสตราจารย์,พงษ์ธร,วราศัย,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2535,"ศ.ม. , M.Phil","มหาวิทยาลัยธรรมศาสตร์ , Erasmus University ","2538 , 2545",Ph.D.,"Erasmus University, The Netherlands",2548,4
4369,25510051108732,ผู้ช่วยศาสตราจารย์,กิตติชัย,แซ่ลี้,ศ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2545,ศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2548,Ph.D.,"University of Wisconsin-Madison, USA",2559,4
4936,25510051108732,ผู้ช่วยศาสตราจารย์,มณเฑียร,สติมานนท์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2542,ศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2543,Ph.D.,"Michigan State University, USA",2556,4
4496,25510051108732,ผู้ช่วยศาสตราจารย์,วรรณวิภางค์,มานะโชติพงษ์,B.Sc.,"Duke University, USA",2545,M.Phil.,"University of Oxford, UK",2548,Ph.D.,"University of Oxford, UK",2552,4
4661,25510051108732,ผู้ช่วยศาสตราจารย์,พนิต,วัฒนกูล,"ศ.บ. , น.บ.","มหาวิทยาลัยธรรมศาสตร์ , มหาวิทยาลัยธรรมศาสตร์","2554 , 2558",M.Sc.,"University of North Carolina at Chapel Hill, USA",2562,Ph.D.,"University of North Carolina at Chapel Hill, USA",2563,4
16022,2509051100496,ผู้ช่วยศาสตราจารย์,บุษกร,รมยานนท์,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2530,Μ.Α.,"California State University, Long Beach, USA",2536,ไม่มี,ไม่มี,ไม่มี,16
16352,2509051100496,ผู้ช่วยศาสตราจารย์ ดร.,บุญอนันต์,นทกุล,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2545,M.P.D.,"The University of Melbourne, Australia",2551,Ph.D.,"The University of Melbourne, Australia",2556,16
16874,2509051100496,ผู้ช่วยศาสตราจารย์ ดร.,กัลยา,ตันติยาสวัสดิกุล,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2543,M.A.,"University of the Arts London, UK",2548,Ph.D.,"Ritsumeikan University, Japan",2557,16
16490,2509051100496,อาจารย์,นภมณี,ทรัพย์สุนทรกุล,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2539,M.F.A.,"Savannah College of Art and Design, USA",2546,ไม่มี,ไม่มี,ไม่มี,16
16843,2509051100496,อาจารย์,เพชร,จิตต์สุวรรณ,Β.Α.,"Trier University of Applied Sciences, Germany",2540,M.F.A,"Konstfack University, Sweden",2542,ไม่มี,ไม่มี,ไม่มี,16
6301,25520051102668,อาจารย์,ธนพร,อธิกิจ,ศศ.บ,มหาวิทยาลัยธรรมศาสตร์,2554,อ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2559,ไม่มี,ไม่มี,ไม่มี,6
6930,25520051102668,อาจารย์ ดร.,จิรบดี,เตชะเสน,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2548,"M.A. , M.Sc.","University of London , Nanyang Technological University","2550 , 2555",Ph.D.,"Nanyang Technological University, Singapore",2561,6
6666,25520051102668,อาจารย์ ดร.,จีรวรรณ,ศรีวงษ์,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2541,M.S.,Long Island University,2546,ปร.ด.,มหาวิทยาลัยสุโขทัยธรรมาธิราช,2564,6
6887,25520051102668,ผู้ช่วยศาสตราจารย์,ศุภวิทย์,ถาวรบุตร,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2542,ศศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2547,ไม่มี,ไม่มี,ไม่มี,6
6045,25520051102668,อาจารย์ ดร.,พนารัตน์,อานามวัฒน์,B.A.,"University of Pennsylvania, USA",2557,M.Phil.,"University of Oxford, UK",2559,Ph.D.,"University of Oxford, UK",2563,6
6980,25520051102668,อาจารย์ ดร.,ตามไท,ดิลกวิทยรัตน์,ร.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2541,ร.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2545,Ph.D.,"Australian National University, Australia",2557,6
6901,25520051102668,อาจารย์,ธีรภัทร,รื่นศิริ,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2555,M.A.,"Lancaster University, UK",2557,M.A.,"Lancaster University, UK",2557,6
6257,25520051102668,อาจารย์ ดร.,ชรินทร,หนองบัว,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2553,M.A.,"San Francisco State
University, U.S.A.",2557,Ph.D.,"The University of New South Wales, Australia",2562,6
6544,25520051102668,ผู้ช่วยศาสตราจารย์,เหมือนมาด,มุกข์ประดิษฐ์,ร.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2548,อ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2548,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2561,6
6832,25520051102668,อาจารย์,พิรุฬห์,ปิยมหพงศ์,อ.บ.,มหาวิทยาลัยศิลปากร,2556,ไม่มี,ไม่มี,ไม่มี,M.Sc,"University of Edinburgh, UK",2560,6
6694,25520051102668,อาจารย์ ดร.,Ivan,Ivanov,M.A.,University of Sofia,2543,"M.A. , M.A.","University of Sofia, Bulgaria , University of Iowa","2543 , 2548",Ph.D.,University of Iowa,2552,6
6728,25520051102668,ผู้ช่วยศาสตราจารย์ ดร.,ศิริวรรณ,วรชัยยุทธ,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2545,M.A.,"Nanjing Normal University,
China",2550,Ph.D.,"East China Normal University, China",2555,6
8624,25510051100351,ผู้ช่วยศาสตราจารย์ ดร.,ณัฐจรี,สุวรรณภัฏ,สม.บ.,มหาวิทยาลัยธรรมศาสตร์,2541,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2546,Ph.D.,"La Trobe University, Australia.",2557,8
8848,25510051100351,ผู้ช่วยศาสตราจารย์,อัครนัย,ขวัญอยู่,สม.บ.,มหาวิทยาลัยธรรมศาสตร์,2554,ศบ.ม.,สถาบันบัณฑิตพัฒนาบริหารศาสตร์,2557,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2559,8
8030,25510051100351,อาจารย์,วิภาวี,พงษ์ปิ่น,ศศ.บ.,มหาวิทยาลัยศิลปากร,2550,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2554,ไม่มี,ไม่มี,ไม่มี,8
8191,25510051100351,ผู้ช่วยศาสตราจารย์ ดร.,บุญเลิศ,วิเศษปรีชา,วท.บ.,มหาวิทยาลัยเกษตรศาสตร์,2538,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2546,Ph.D.,"University of Wisconsin-Madison, U.S.A.",2558,8
8816,25510051100351,ผู้ช่วยศาสตราจารย์,อรอุมา,เตพละกุล,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2541,M.Sc.,"Asian Institute of Technology, Thailand",2543,ไม่มี,ไม่มี,ไม่มี,8
4068,25400051100191,ผู้ช่วยศาสตราจารย์,เฉลิมพงษ์,คงเจริญ,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,ศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2546,Ph.D.,"Michigan State University, U.S.A",2554,4
4044,25400051100191,ผู้ช่วยศาสตราจารย์,ดวงมณี,เลาวกุล,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2533,ศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2536,Ph.D.,"George Mason University, U.S.A",2547,4
4801,25400051100191,ผู้ช่วยศาสตราจารย์,ชญานี,ชวะโนทย์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2548,ศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2551,Ph.D.,"Cornell University, U.S.A",2557,4
4827,25400051100191,รองศาสตราจารย์,ศศิวิมล,วรุณศิริ ปวีณวัฒน์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,"M.AppEc , M.A.","Monash University , University of Colorado","2545 , 2550",Ph.D.,"University of Colorado, Boulder, U.S.A",2553,4
4523,25400051100191,อาจารย์,ทีปกร,จิร์ฐิติกุลชัย,ศ.บ.,มหาวิทยาลัยขอนแก่น,2542,ศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2548,Ph.D.,"Texas A&M University, U.S.A",2557,4
6860,25520051102681,รองศาสตราจารย์ ดร.,วริษา,โอสถานนท์,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2534,M.A.,"California State University at Fresno, CA,
USA",2534,Ph.D.,"University of Hawaii at Manoa, HI, USA",2540,6
6729,25520051102681,ผู้ช่วยศาสตราจารย์ ดร.,ขวัญจิรา,ฉัตรพรรณรังสี,ค.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2534,M.A.,"Minnesota State University, USA",2542,Ph.D.,"Indiana University, USA",2556,6
6172,25520051102681,อาจารย์ ดร.,กมลรัตน์,ศรีหารักษา,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2538,"M.A. , M.Res.","Indiana University of Pennsylvania , University of Essex","2543 , 2553",Ph.D.,"University of Essex, UK",2557,6
6650,25520051102681,อาจารย์,ปริวรรต,อิมสอาด,ค.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2561,Μ.Α.,"University of York, UK",2562,ไม่มี,ไม่มี,ไม่มี,6
