cur-name-th,faculty_name_th,lecture-position,lecture-first-name,lecture-last-name,bachelor-degree,bachelor-institute,bachelor-graduate-year,doctor-degree,doctor-institute,doctor-graduate-year
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์,วิลาสินี,พนานครทรัพย์,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2545,Ph.D.,"La Trobe University, Australia.",2558
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์,พจนก,กาญจนจันทร,Μ.Α.,"Warwick University, UK",2543,Ph.D.,"University of Bristol, UK",2549
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,อาจารย์,ธนานนท์,บัวทอง,ศ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2552,ศศ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2562
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์,วาทินีย์,วิชัยยา,วท.บ.,มหาวิทยาลัยเชียงใหม่,2551,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2556
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์,เทียมสูรย์,สิริศรีศักดิ์,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2541,Ph.D.,"The University of Tokyo, Japan",2554
หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,พงษ์ธร,วราศัย,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2535,Ph.D.,"Erasmus University, The Netherlands",2548
หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,กิตติชัย,แซ่ลี้,ศ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2545,Ph.D.,"University of Wisconsin-Madison, USA",2559
หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,มณเฑียร,สติมานนท์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2542,Ph.D.,"Michigan State University, USA",2556
หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,วรรณวิภางค์,มานะโชติพงษ์,B.Sc.,"Duke University, USA",2545,Ph.D.,"University of Oxford, UK",2552
หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,พนิต,วัฒนกูล,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2554,Ph.D.,"University of North Carolina at Chapel Hill, USA",2563
หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์,บุษกร,รมยานนท์,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2530,Μ.Α.,"California State University, Long Beach, USA",2536
หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์ ดร.,บุญอนันต์,นทกุล,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2545,Ph.D.,"The University of Melbourne, Australia",2556
หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์ ดร.,กัลยา,ตันติยาสวัสดิกุล,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2543,Ph.D.,"Ritsumeikan University, Japan",2557
หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,อาจารย์,นภมณี,ทรัพย์สุนทรกุล,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2539,M.F.A.,"Savannah College of Art and Design, USA",2546
หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,อาจารย์,เพชร,จิตต์สุวรรณ,Β.Α.,"Trier University of Applied Sciences, Germany",2540,M.F.A,"Konstfack University, Sweden",2542
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์,ธนพร,อธิกิจ,ศศ.บ,มหาวิทยาลัยธรรมศาสตร์,2554,อ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2559
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์ ดร.,จิรบดี,เตชะเสน,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2548,Ph.D.,"Nanyang Technological University, Singapore",2561
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์ ดร.,จีรวรรณ,ศรีวงษ์,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2541,ปร.ด.,มหาวิทยาลัยสุโขทัยธรรมาธิราช,2564
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้ช่วยศาสตราจารย์,ศุภวิทย์,ถาวรบุตร,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2542,ศศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2547
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์ ดร.,พนารัตน์,อานามวัฒน์,B.A.,"University of Pennsylvania, USA",2557,Ph.D.,"University of Oxford, UK",2563
